category,month,total_sales,total_profit
Furniture,Sep,213635.0,37025.0
Furniture,Oct,186118.0,33909.0
Furniture,Mar,229100.0,41356.0
Office Supplies,Feb,519052.0,91996.0
Technology,Jul,195423.0,34847.0
Office Supplies,Dec,625881.0,111098.0
Furniture,Aug,184881.0,32618.0
Office Supplies,Jul,493832.0,87900.0
Office Supplies,Jun,466195.0,84138.0
Technology,Sep,157813.0,28088.0
Technology,Dec,208541.0,37248.0
Technology,Jun,219426.0,40638.0
Office Supplies,Jan,591360.0,108160.0
Technology,Aug,183381.0,31653.0
Technology,Oct,231260.0,38820.0
Technology,Jan,218845.0,41003.0
Office Supplies,Mar,559349.0,94722.0
Office Supplies,Aug,511968.0,95235.0
Office Supplies,Sep,491966.0,83344.0
Office Supplies,Oct,558618.0,96768.0
Furniture,Nov,182622.0,30893.0
Office Supplies,Nov,500748.0,86323.0
Technology,May,197910.0,33496.0
Furniture,Feb,148372.0,27753.0
Office Supplies,Apr,490333.0,87068.0
Furniture,Jan,172713.0,30311.0
Furniture,Jun,163276.0,30142.0
Technology,Nov,226025.0,39921.0
Technology,Mar,189794.0,33550.0
Technology,Feb,173657.0,28714.0
Furniture,Apr,209527.0,37295.0
Technology,Apr,198911.0,34427.0
Furniture,Dec,190231.0,34029.0
Office Supplies,May,540921.0,96805.0
Furniture,Jul,157825.0,28542.0
Furniture,May,187590.0,35622.0
