region,month_name,total_sales
South,Mar,207499.0
South,Jan,183347.0
East,Apr,294155.0
East,Nov,300659.0
Central,May,248414.0
East,Mar,273702.0
Central,Oct,225722.0
South,Nov,162357.0
Central,Apr,242445.0
South,Jul,135571.0
Central,Mar,278149.0
East,Jan,288617.0
West,Apr,283988.0
East,Sep,265626.0
South,Sep,184646.0
West,Aug,270046.0
Central,Nov,241131.0
South,Feb,198861.0
West,Mar,305414.0
South,Dec,205577.0
East,Feb,263806.0
West,Dec,351285.0
West,Sep,280597.0
Central,Sep,235486.0
South,Aug,185969.0
East,Jun,240152.0
West,Jan,343354.0
South,Apr,166109.0
Central,Dec,248900.0
West,Oct,312915.0
Central,Jun,229454.0
Central,Aug,207534.0
East,Oct,321278.0
West,Jun,280277.0
West,Jul,287058.0
West,Nov,296323.0
East,Dec,296444.0
South,Jun,174613.0
East,Jul,270953.0
East,May,263798.0
South,Oct,195039.0
Central,Jul,227097.0
Central,Jan,247841.0
East,Aug,297167.0
Central,Feb,230240.0
South,May,186480.0
West,May,292535.0
West,Feb,227085.0
