region,month_name,total_sales
South,Mar,189048.0
South,Jan,170052.0
East,Apr,260812.0
East,Nov,264788.0
Central,May,234163.0
East,Mar,249116.0
Central,Oct,206621.0
South,Nov,153340.0
Central,Apr,223923.0
South,Jul,129335.0
Central,Mar,249167.0
East,Jan,271372.0
West,Apr,258107.0
East,Sep,229397.0
South,Sep,167015.0
West,Aug,244952.0
Central,Nov,215727.0
South,Feb,181322.0
West,Mar,283512.0
South,Dec,194317.0
East,Feb,245152.0
West,Dec,316218.0
West,Sep,255877.0
Central,Sep,206918.0
South,Aug,171994.0
East,Jun,220145.0
West,Jan,312019.0
South,Apr,149570.0
Central,Dec,229687.0
West,Oct,294152.0
Central,Jun,209835.0
Central,Aug,192970.0
East,Oct,293491.0
West,Jun,254073.0
West,Jul,259656.0
West,Nov,262565.0
East,Dec,280583.0
South,Jun,160902.0
East,Jul,243729.0
East,May,244968.0
South,Oct,177557.0
Central,Jul,206416.0
Central,Jan,223987.0
East,Aug,265910.0
Central,Feb,209274.0
South,May,176226.0
West,May,263705.0
West,Feb,196943.0
