region,month_name,total_sales
South,Mar,158410.0
Central,Sep,158810.0
South,Aug,135922.0
South,Jan,138778.0
East,Jun,186463.0
West,Jan,251595.0
South,Apr,122661.0
East,Apr,212216.0
East,Nov,212523.0
Central,Dec,179258.0
West,Oct,250350.0
Central,May,189027.0
Central,Jun,164679.0
East,Mar,206056.0
Central,Aug,165726.0
East,Oct,256951.0
Central,Oct,167180.0
South,Nov,130214.0
West,Jun,200775.0
Central,Apr,175351.0
South,Jul,100581.0
West,Jul,214944.0
West,Nov,221300.0
Central,Mar,206998.0
East,Jan,225819.0
West,Apr,220347.0
East,Sep,194710.0
East,Dec,240706.0
South,Jun,123582.0
East,Jul,187653.0
East,May,210605.0
South,Sep,137084.0
West,Aug,195648.0
South,Oct,157124.0
Central,Jul,172460.0
Central,Jan,175146.0
East,Aug,220462.0
Central,Nov,168840.0
South,Feb,155464.0
West,Mar,218782.0
Central,Feb,175913.0
South,Dec,145928.0
East,Feb,204289.0
South,May,156108.0
West,Dec,266476.0
West,Sep,188588.0
West,May,201059.0
West,Feb,160082.0
