region,month_name,total_sales
South,Mar,157098.0
Central,Sep,154788.0
South,Aug,133719.0
South,Jan,135909.0
East,Jun,185051.0
West,Jan,240382.0
South,Apr,115019.0
East,Apr,209881.0
East,Nov,206205.0
Central,Dec,169699.0
West,Oct,221385.0
Central,May,178216.0
Central,Jun,156012.0
East,Mar,204011.0
Central,Aug,161883.0
East,Oct,254570.0
Central,Oct,164348.0
South,Nov,128480.0
West,Jun,199473.0
Central,Apr,173888.0
South,Jul,97751.0
West,Jul,211330.0
West,Nov,220440.0
Central,Mar,203944.0
East,Jan,218267.0
West,Apr,217896.0
East,Sep,184427.0
East,Dec,229007.0
South,Jun,121624.0
East,Jul,185908.0
East,May,207165.0
South,Sep,134380.0
West,Aug,194159.0
South,Oct,156376.0
Central,Jul,168619.0
Central,Jan,170055.0
East,Aug,218270.0
Central,Nov,164197.0
South,Feb,146391.0
West,Mar,213266.0
Central,Feb,173308.0
South,Dec,145874.0
East,Feb,202312.0
South,May,155677.0
West,Dec,263776.0
West,Sep,186381.0
West,May,196736.0
West,Feb,154881.0
