category,month,total_sales,total_profit
Furniture,Sep,185602.0,31355.0
Furniture,Oct,166009.0,30768.0
Furniture,Mar,197676.0,36287.0
Office Supplies,Feb,447515.0,79971.0
Technology,Jul,161843.0,28668.0
Office Supplies,Dec,521798.0,92701.0
Furniture,Aug,163145.0,29076.0
Office Supplies,Jul,420131.0,76333.0
Office Supplies,Jun,398840.0,72202.0
Technology,Sep,131636.0,23804.0
Technology,Dec,181945.0,31829.0
Technology,Jun,196253.0,36694.0
Office Supplies,Jan,476708.0,84930.0
Technology,Aug,159371.0,27706.0
Technology,Oct,207167.0,34225.0
Technology,Jan,190743.0,36140.0
Office Supplies,Mar,482988.0,80826.0
Office Supplies,Aug,429667.0,77534.0
Office Supplies,Sep,419292.0,70883.0
Office Supplies,Oct,499026.0,87015.0
Furniture,Nov,157197.0,26351.0
Office Supplies,Nov,428318.0,72626.0
Technology,May,167482.0,28254.0
Furniture,Feb,127034.0,24238.0
Office Supplies,Apr,418345.0,74149.0
Furniture,Jan,154850.0,27560.0
Furniture,Jun,120369.0,21441.0
Technology,Nov,189628.0,33447.0
Technology,Mar,146896.0,25658.0
Technology,Feb,154593.0,25137.0
Furniture,Apr,173356.0,31069.0
Technology,Apr,177697.0,30732.0
Furniture,Dec,160145.0,29283.0
Office Supplies,May,475307.0,85523.0
Furniture,Jul,137994.0,25062.0
Furniture,May,163192.0,31258.0
