category,month,total_sales,total_profit
Furniture,Sep,213318.0,36983.0
Furniture,Oct,184741.0,33712.0
Furniture,Mar,228357.0,41253.0
Office Supplies,Feb,516505.0,91674.0
Technology,Jul,193413.0,34523.0
Office Supplies,Dec,624733.0,110905.0
Furniture,Aug,183512.0,32397.0
Office Supplies,Jul,490206.0,87108.0
Office Supplies,Jun,464669.0,83902.0
Technology,Sep,157739.0,28068.0
Technology,Dec,208239.0,37220.0
Technology,Jun,217930.0,40347.0
Office Supplies,Jan,589529.0,107823.0
Technology,Aug,183381.0,31653.0
Technology,Oct,231260.0,38820.0
Technology,Jan,218513.0,40919.0
Office Supplies,Mar,555374.0,93855.0
Office Supplies,Aug,510637.0,94989.0
Office Supplies,Sep,490925.0,83155.0
Office Supplies,Oct,556561.0,96378.0
Furniture,Nov,182300.0,30845.0
Office Supplies,Nov,498590.0,85983.0
Technology,May,196599.0,33247.0
Furniture,Feb,147067.0,27562.0
Office Supplies,Apr,488953.0,86870.0
Furniture,Jan,172336.0,30264.0
Furniture,Jun,163011.0,30097.0
Technology,Nov,217619.0,38024.0
Technology,Mar,188931.0,33358.0
Technology,Feb,172326.0,28523.0
Furniture,Apr,208584.0,37096.0
Technology,Apr,197961.0,34319.0
Furniture,Dec,189831.0,33932.0
Office Supplies,May,539356.0,96460.0
Furniture,Jul,157404.0,28466.0
Furniture,May,185654.0,35103.0
