state,total_sales,total_customers
Alabama,74978.0,29
Arizona,304631.0,82
Arkansas,65893.0,8
California,2344753.0,639
Colorado,266943.0,80
Connecticut,105729.0,32
Delaware,85942.0,21
District of Columbia,5512.0,1
Florida,446774.0,107
Georgia,141393.0,50
Illinois,533365.0,147
Indiana,144117.0,44
Iowa,15549.0,8
Kansas,34823.0,3
Kentucky,281347.0,65
Louisiana,58326.0,21
Maryland,29268.0,9
Massachusetts,137009.0,39
Michigan,219341.0,59
Minnesota,193433.0,48
Mississippi,75763.0,19
Missouri,75716.0,26
Nebraska,3358.0,3
Nevada,20370.0,5
New Hampshire,27076.0,8
New Jersey,178041.0,46
New Mexico,20996.0,14
New York,1142859.0,321
North Carolina,356101.0,116
Ohio,552567.0,155
Oklahoma,44944.0,11
Oregon,45087.0,11
Pennsylvania,567869.0,166
Rhode Island,59956.0,16
South Dakota,1610.0,2
Tennessee,165901.0,45
Texas,1144721.0,291
Utah,56845.0,18
Virginia,237191.0,53
Washington,515395.0,150
Wisconsin,80869.0,35
