state,total_sales,total_customers
Alabama,118716.0,75
Arizona,475087.0,255
Arkansas,90820.0,24
California,3747606.0,1887
Colorado,481344.0,247
Connecticut,146855.0,85
Delaware,128408.0,64
District of Columbia,18549.0,16
Florida,690121.0,321
Georgia,266393.0,164
Illinois,967561.0,506
Indiana,232796.0,127
Iowa,38719.0,22
Kansas,45906.0,14
Kentucky,370985.0,158
Louisiana,90689.0,46
Maryland,53087.0,29
Massachusetts,241556.0,126
Michigan,337770.0,184
Minnesota,282212.0,141
Mississippi,108345.0,58
Missouri,136167.0,73
Nebraska,20843.0,12
Nevada,39708.0,23
New Hampshire,41742.0,26
New Jersey,295425.0,152
New Mexico,48492.0,33
New York,1866603.0,988
North Carolina,568773.0,336
Ohio,852326.0,450
Oklahoma,70263.0,36
Oregon,72913.0,36
Pennsylvania,1016026.0,551
Rhode Island,96310.0,58
South Dakota,19956.0,10
Tennessee,292332.0,169
Texas,1790634.0,910
Utah,89032.0,60
Virginia,375950.0,189
Washington,930369.0,483
Wisconsin,145870.0,96
