category,month,total_sales,total_profit
Furniture,Sep,173394.0,29023.0
Furniture,Oct,160510.0,29700.0
Furniture,Mar,188315.0,34690.0
Office Supplies,Feb,428235.0,76678.0
Technology,Jul,155395.0,27340.0
Office Supplies,Dec,501410.0,88713.0
Furniture,Aug,150849.0,27222.0
Office Supplies,Jul,395548.0,72089.0
Office Supplies,Jun,375526.0,68271.0
Technology,Sep,122848.0,22112.0
Technology,Dec,176435.0,30729.0
Technology,Jun,181300.0,33150.0
Office Supplies,Jan,460497.0,81861.0
Technology,Aug,153392.0,26595.0
Technology,Oct,200291.0,32929.0
Technology,Jan,175337.0,33047.0
Office Supplies,Mar,459764.0,76157.0
Office Supplies,Aug,410718.0,74235.0
Office Supplies,Sep,380414.0,64884.0
Office Supplies,Oct,459273.0,80633.0
Furniture,Nov,150895.0,25103.0
Office Supplies,Nov,394754.0,65898.0
Technology,May,149195.0,24735.0
Furniture,Feb,122328.0,23168.0
Office Supplies,Apr,391325.0,68928.0
Furniture,Jan,147030.0,26205.0
Furniture,Jun,117964.0,21054.0
Technology,Nov,181120.0,32339.0
Technology,Mar,140634.0,24454.0
Technology,Feb,142633.0,23739.0
Furniture,Apr,167497.0,30273.0
Technology,Apr,170763.0,29186.0
Furniture,Dec,154402.0,28231.0
Office Supplies,May,448747.0,80302.0
Furniture,Jul,124601.0,22231.0
Furniture,May,156467.0,30023.0
