state,total_sales,total_customers
Alabama,74978.0,29
Arizona,308102.0,86
Arkansas,65893.0,8
California,2353676.0,651
Colorado,267333.0,81
Connecticut,105729.0,32
Delaware,85942.0,21
District of Columbia,5512.0,1
Florida,451668.0,109
Georgia,141742.0,51
Illinois,536468.0,151
Indiana,146358.0,46
Iowa,16437.0,9
Kansas,34823.0,3
Kentucky,282044.0,66
Louisiana,58326.0,21
Maryland,29756.0,10
Massachusetts,138880.0,41
Michigan,221069.0,61
Minnesota,193869.0,49
Mississippi,75763.0,19
Missouri,76175.0,27
Nebraska,3358.0,3
Nevada,20370.0,5
New Hampshire,27076.0,8
New Jersey,178041.0,46
New Mexico,23238.0,15
New York,1151374.0,326
North Carolina,357683.0,119
Ohio,553074.0,156
Oklahoma,45317.0,12
Oregon,45087.0,11
Pennsylvania,580652.0,169
Rhode Island,59956.0,16
South Dakota,1610.0,2
Tennessee,165901.0,45
Texas,1147169.0,296
Utah,56845.0,18
Virginia,237610.0,54
Washington,519042.0,154
Wisconsin,82118.0,36
