category,month,total_sales,total_profit
Furniture,Sep,195070.0,32833.0
Furniture,Oct,177122.0,32387.0
Furniture,Mar,217237.0,39207.0
Office Supplies,Feb,488310.0,86792.0
Technology,Jul,178816.0,31690.0
Office Supplies,Dec,573806.0,101159.0
Furniture,Aug,174244.0,30831.0
Office Supplies,Jul,451103.0,81567.0
Office Supplies,Jun,429718.0,77884.0
Technology,Sep,146095.0,26067.0
Technology,Dec,200485.0,36003.0
Technology,Jun,208371.0,38712.0
Office Supplies,Jan,512561.0,91115.0
Technology,Aug,170941.0,29590.0
Technology,Oct,216260.0,36075.0
Technology,Jan,205709.0,38839.0
Office Supplies,Mar,521828.0,87921.0
Office Supplies,Aug,479451.0,88696.0
Office Supplies,Sep,465456.0,78549.0
Office Supplies,Oct,531132.0,92103.0
Furniture,Nov,171282.0,28952.0
Office Supplies,Nov,462930.0,78887.0
Technology,May,186258.0,31502.0
Furniture,Feb,137257.0,25821.0
Office Supplies,Apr,445949.0,78680.0
Furniture,Jan,165372.0,29267.0
Furniture,Jun,152102.0,27830.0
Technology,Nov,204677.0,35555.0
Technology,Mar,176262.0,31370.0
Technology,Feb,163068.0,26876.0
Furniture,Apr,190816.0,34683.0
Technology,Apr,187196.0,32386.0
Furniture,Dec,179966.0,32018.0
Office Supplies,May,504942.0,90657.0
Furniture,Jul,145841.0,26572.0
Furniture,May,172326.0,32651.0
