state,total_sales,total_customers
Alabama,78749.0,36
Arizona,316629.0,98
Arkansas,68245.0,9
California,2448478.0,745
Colorado,278888.0,98
Connecticut,108091.0,37
Delaware,92222.0,27
District of Columbia,8663.0,3
Florida,475045.0,129
Georgia,162012.0,66
Illinois,600511.0,192
Indiana,151517.0,52
Iowa,18676.0,11
Kansas,35617.0,4
Kentucky,291908.0,73
Louisiana,59138.0,23
Maryland,29756.0,10
Massachusetts,145042.0,49
Michigan,230818.0,73
Minnesota,199026.0,55
Mississippi,77267.0,22
Missouri,82020.0,33
Nebraska,3838.0,4
Nevada,27126.0,7
New Hampshire,27076.0,8
New Jersey,183026.0,53
New Mexico,23855.0,16
New York,1213882.0,381
North Carolina,368740.0,138
Ohio,571498.0,180
Oklahoma,45979.0,14
Oregon,45087.0,11
Pennsylvania,629544.0,211
Rhode Island,64919.0,21
South Dakota,1610.0,2
Tennessee,176088.0,55
Texas,1181629.0,344
Utah,59515.0,22
Virginia,246578.0,65
Washington,568923.0,183
Wisconsin,90447.0,43
