segment,month_name,total_sales,total_profit
Corporate,Oct,249379.0,43306.0
Home Office,Jul,128765.0,22939.0
Consumer,Jul,334744.0,60314.0
Corporate,Mar,222809.0,37479.0
Consumer,Nov,321409.0,54815.0
Home Office,Aug,121166.0,21174.0
Consumer,Aug,373603.0,68551.0
Corporate,Aug,208578.0,36273.0
Home Office,Apr,123887.0,21412.0
Consumer,Jun,346369.0,62780.0
Consumer,May,366357.0,65006.0
Home Office,Sep,98820.0,16063.0
Corporate,Jul,195341.0,35804.0
Corporate,Dec,265364.0,46947.0
Corporate,May,239021.0,42457.0
Corporate,Apr,236128.0,41059.0
Home Office,May,129052.0,23789.0
Home Office,Jan,141546.0,25644.0
Home Office,Jun,104945.0,19488.0
Consumer,Sep,361123.0,61548.0
Home Office,Mar,150965.0,23931.0
Consumer,Apr,351183.0,62294.0
Home Office,Nov,137739.0,24116.0
Home Office,Oct,156889.0,27444.0
Consumer,Dec,399334.0,70823.0
Corporate,Nov,249839.0,40677.0
Corporate,Sep,198042.0,34599.0
Corporate,Feb,220218.0,36815.0
Home Office,Feb,112120.0,20089.0
Consumer,Mar,401019.0,71414.0
Consumer,Oct,385847.0,67197.0
Corporate,Jan,270033.0,47232.0
Consumer,Jan,347644.0,63883.0
Corporate,Jun,207792.0,36830.0
Home Office,Dec,138274.0,22541.0
Consumer,Feb,334211.0,61877.0
