state,total_sales,total_customers
Alabama,79551.0,37
Arizona,317179.0,100
Arkansas,68245.0,9
California,2472619.0,758
Colorado,278888.0,98
Connecticut,108091.0,37
Delaware,92656.0,29
District of Columbia,8663.0,3
Florida,477479.0,132
Georgia,162182.0,67
Illinois,602131.0,195
Indiana,151517.0,52
Iowa,18676.0,11
Kansas,36048.0,5
Kentucky,292516.0,74
Louisiana,59923.0,24
Maryland,29756.0,10
Massachusetts,146022.0,50
Michigan,231136.0,74
Minnesota,201184.0,57
Mississippi,77725.0,23
Missouri,82020.0,33
Nebraska,3838.0,4
Nevada,27126.0,7
New Hampshire,27076.0,8
New Jersey,183026.0,53
New Mexico,23855.0,16
New York,1222360.0,387
North Carolina,372231.0,142
Ohio,572111.0,181
Oklahoma,45979.0,14
Oregon,45087.0,11
Pennsylvania,630589.0,213
Rhode Island,64919.0,21
South Dakota,1610.0,2
Tennessee,176604.0,56
Texas,1189936.0,354
Utah,59515.0,22
Virginia,246578.0,65
Washington,569936.0,186
Wisconsin,90707.0,44
