category,month,total_sales,total_profit
Furniture,Sep,219750.0,38161.0
Furniture,Oct,193024.0,35386.0
Furniture,Mar,237307.0,42723.0
Office Supplies,Feb,540734.0,95563.0
Technology,Jul,203272.0,36274.0
Office Supplies,Dec,657574.0,116887.0
Furniture,Aug,193911.0,34455.0
Office Supplies,Jul,530192.0,95241.0
Office Supplies,Jun,484981.0,87563.0
Technology,Sep,167826.0,29345.0
Technology,Dec,225394.0,39070.0
Technology,Jun,228357.0,42336.0
Office Supplies,Jan,623438.0,113389.0
Technology,Aug,190861.0,33002.0
Technology,Oct,248769.0,41266.0
Technology,Jan,230828.0,43482.0
Office Supplies,Mar,586573.0,99721.0
Office Supplies,Aug,537994.0,99206.0
Office Supplies,Sep,520890.0,87955.0
Office Supplies,Oct,579137.0,100141.0
Furniture,Nov,192373.0,32671.0
Office Supplies,Nov,532503.0,90941.0
Technology,May,204188.0,34622.0
Furniture,Feb,154516.0,28810.0
Office Supplies,Apr,519898.0,93116.0
Furniture,Jan,185500.0,32705.0
Furniture,Jun,179535.0,32003.0
Technology,Nov,243494.0,42738.0
Technology,Mar,201564.0,35607.0
Technology,Feb,180987.0,29980.0
Furniture,Apr,217387.0,38863.0
Technology,Apr,214548.0,37163.0
Furniture,Dec,196149.0,35062.0
Office Supplies,May,562334.0,100445.0
Furniture,Jul,164205.0,29603.0
Furniture,May,197297.0,37022.0
