segment,month_name,total_sales,total_profit
Corporate,Oct,283094.0,48378.0
Home Office,Jul,160397.0,28204.0
Consumer,Jul,386998.0,69947.0
Corporate,Mar,246049.0,42247.0
Consumer,Nov,368007.0,63030.0
Home Office,Aug,136425.0,23775.0
Consumer,Aug,432705.0,79979.0
Corporate,Aug,234011.0,41395.0
Home Office,Apr,146985.0,26094.0
Consumer,Jun,384518.0,69290.0
Consumer,May,416853.0,73720.0
Home Office,Sep,115390.0,19076.0
Corporate,Jul,209756.0,38417.0
Corporate,Dec,291870.0,51698.0
Corporate,May,274200.0,49513.0
Corporate,Apr,256724.0,44299.0
Home Office,May,147255.0,27099.0
Home Office,Jan,168949.0,30975.0
Home Office,Jun,139580.0,26815.0
Consumer,Sep,421479.0,71040.0
Home Office,Mar,174762.0,28750.0
Consumer,Apr,402865.0,72464.0
Home Office,Nov,170314.0,29967.0
Home Office,Oct,173154.0,30341.0
Consumer,Dec,463138.0,83593.0
Corporate,Nov,275224.0,46202.0
Corporate,Sep,236888.0,42216.0
Corporate,Feb,242459.0,40435.0
Home Office,Feb,142596.0,26284.0
Consumer,Mar,446461.0,79081.0
Consumer,Oct,447458.0,78429.0
Corporate,Jan,296354.0,51469.0
Consumer,Jan,393322.0,72701.0
Corporate,Jun,238782.0,43408.0
Home Office,Dec,163556.0,27187.0
Consumer,Feb,375928.0,68418.0
