segment,month_name,total_sales,total_profit
Corporate,Oct,308545.0,52577.0
Home Office,Jul,179957.0,31286.0
Consumer,Jul,441700.0,78381.0
Corporate,Mar,278254.0,48387.0
Consumer,Nov,418810.0,72379.0
Home Office,Aug,150035.0,26017.0
Consumer,Aug,483100.0,89424.0
Corporate,Aug,258927.0,45790.0
Home Office,Apr,163382.0,28992.0
Consumer,Jun,439668.0,79533.0
Consumer,May,469469.0,82755.0
Home Office,Sep,133574.0,22317.0
Corporate,Jul,234243.0,43404.0
Corporate,Dec,343371.0,61266.0
Corporate,May,297240.0,53550.0
Corporate,Apr,288322.0,50076.0
Home Office,May,169045.0,30968.0
Home Office,Jan,184869.0,33645.0
Home Office,Jun,152937.0,28868.0
Consumer,Sep,478647.0,82107.0
Home Office,Mar,186950.0,30822.0
Consumer,Apr,468648.0,83844.0
Home Office,Nov,189088.0,33071.0
Home Office,Oct,191003.0,33457.0
Consumer,Dec,514524.0,93082.0
Corporate,Nov,311883.0,53197.0
Corporate,Sep,259747.0,45499.0
Corporate,Feb,265038.0,44554.0
Home Office,Feb,155996.0,28671.0
Consumer,Mar,525308.0,92826.0
Consumer,Oct,495726.0,86454.0
Corporate,Jan,333836.0,59219.0
Consumer,Jan,477280.0,89025.0
Corporate,Jun,264420.0,47847.0
Home Office,Dec,177001.0,29571.0
Consumer,Feb,429228.0,76906.0
