state,total_sales,total_customers
Alabama,75055.0,30
Arizona,313020.0,92
Arkansas,65893.0,8
California,2398183.0,698
Colorado,275092.0,94
Connecticut,106441.0,34
Delaware,87757.0,23
District of Columbia,6006.0,2
Florida,459112.0,116
Georgia,148992.0,58
Illinois,565895.0,169
Indiana,146979.0,48
Iowa,17851.0,10
Kansas,34823.0,3
Kentucky,284480.0,68
Louisiana,58326.0,21
Maryland,29756.0,10
Massachusetts,141327.0,45
Michigan,223464.0,64
Minnesota,195347.0,52
Mississippi,77267.0,22
Missouri,77488.0,28
Nebraska,3838.0,4
Nevada,23928.0,6
New Hampshire,27076.0,8
New Jersey,179390.0,48
New Mexico,23855.0,16
New York,1193850.0,358
North Carolina,363372.0,130
Ohio,561378.0,166
Oklahoma,45579.0,13
Oregon,45087.0,11
Pennsylvania,601067.0,186
Rhode Island,61091.0,17
South Dakota,1610.0,2
Tennessee,171073.0,49
Texas,1162058.0,314
Utah,57421.0,19
Virginia,242738.0,59
Washington,535096.0,161
Wisconsin,85932.0,40
