state,total_sales,total_customers
Alabama,70350.0,24
Arizona,289853.0,60
Arkansas,64822.0,6
California,2156791.0,481
Colorado,250076.0,63
Connecticut,99238.0,24
Delaware,85565.0,20
District of Columbia,5512.0,1
Florida,427257.0,92
Georgia,130188.0,38
Illinois,471311.0,112
Indiana,135774.0,32
Iowa,13727.0,6
Kansas,34823.0,3
Kentucky,265633.0,50
Louisiana,55745.0,19
Maryland,28287.0,8
Massachusetts,131926.0,32
Michigan,205367.0,47
Minnesota,181532.0,36
Mississippi,69640.0,14
Missouri,69238.0,20
Nebraska,3358.0,3
Nevada,14941.0,3
New Hampshire,25100.0,5
New Jersey,171225.0,37
New Mexico,17202.0,10
New York,1063876.0,252
North Carolina,335000.0,88
Ohio,525723.0,124
Oklahoma,42395.0,9
Oregon,43199.0,9
Pennsylvania,542966.0,133
Rhode Island,58038.0,13
South Dakota,457.0,1
Tennessee,158755.0,34
Texas,1084574.0,230
Utah,52748.0,13
Virginia,231395.0,43
Washington,487050.0,119
Wisconsin,58853.0,22
