category,month,total_sales,total_profit
Furniture,Sep,188421.0,31734.0
Furniture,Oct,171787.0,31501.0
Furniture,Mar,201527.0,36905.0
Office Supplies,Feb,457324.0,81761.0
Technology,Jul,165187.0,29201.0
Office Supplies,Dec,536336.0,94639.0
Furniture,Aug,166229.0,29487.0
Office Supplies,Jul,430415.0,78039.0
Office Supplies,Jun,409209.0,74034.0
Technology,Sep,135654.0,24375.0
Technology,Dec,185931.0,32609.0
Technology,Jun,200481.0,37382.0
Office Supplies,Jan,488125.0,87202.0
Technology,Aug,160326.0,27853.0
Technology,Oct,210876.0,34935.0
Technology,Jan,195189.0,36906.0
Office Supplies,Mar,493880.0,83053.0
Office Supplies,Aug,461608.0,85003.0
Office Supplies,Sep,426306.0,71971.0
Office Supplies,Oct,506472.0,88258.0
Furniture,Nov,161625.0,27108.0
Office Supplies,Nov,434994.0,74014.0
Technology,May,172802.0,29058.0
Furniture,Feb,131369.0,24899.0
Office Supplies,Apr,426951.0,75651.0
Furniture,Jan,158779.0,28115.0
Furniture,Jun,126234.0,22454.0
Technology,Nov,197883.0,34534.0
Technology,Mar,150239.0,26397.0
Technology,Feb,157014.0,25621.0
Furniture,Apr,184917.0,33700.0
Technology,Apr,180421.0,31152.0
Furniture,Dec,161899.0,29700.0
Office Supplies,May,485974.0,87251.0
Furniture,Jul,141542.0,25771.0
Furniture,May,165651.0,31602.0
