category,month,total_sales,total_profit
Furniture,Sep,213635.0,37025.0
Furniture,Oct,186697.0,34016.0
Furniture,Mar,229267.0,41399.0
Office Supplies,Feb,520034.0,92219.0
Technology,Jul,195423.0,34847.0
Office Supplies,Dec,629569.0,111741.0
Furniture,Aug,184881.0,32618.0
Office Supplies,Jul,495839.0,88403.0
Office Supplies,Jun,466998.0,84304.0
Technology,Sep,157813.0,28088.0
Technology,Dec,208637.0,37259.0
Technology,Jun,220476.0,40714.0
Office Supplies,Jan,591610.0,108231.0
Technology,Aug,184330.0,31793.0
Technology,Oct,241368.0,40037.0
Technology,Jan,220023.0,41191.0
Office Supplies,Mar,560552.0,95014.0
Office Supplies,Aug,512689.0,95335.0
Office Supplies,Sep,492307.0,83433.0
Office Supplies,Oct,558686.0,96784.0
Furniture,Nov,182622.0,30893.0
Office Supplies,Nov,500852.0,86342.0
Technology,May,198252.0,33559.0
Furniture,Feb,148757.0,27841.0
Office Supplies,Apr,491151.0,87187.0
Furniture,Jan,173356.0,30448.0
Furniture,Jun,163746.0,30253.0
Technology,Nov,226216.0,39954.0
Technology,Mar,190281.0,33655.0
Technology,Feb,174170.0,28853.0
Furniture,Apr,209527.0,37295.0
Technology,Apr,199456.0,34561.0
Furniture,Dec,190458.0,34043.0
Office Supplies,May,541656.0,96898.0
Furniture,Jul,158505.0,28670.0
Furniture,May,187590.0,35622.0
