region,month_name,total_sales
South,Mar,202716.0
South,Jan,176591.0
East,Apr,282204.0
East,Nov,287786.0
Central,May,243423.0
East,Mar,264501.0
Central,Oct,215758.0
South,Nov,156772.0
Central,Apr,236598.0
South,Jul,132041.0
Central,Mar,262080.0
East,Jan,281244.0
West,Apr,271880.0
East,Sep,245604.0
South,Sep,173236.0
West,Aug,260609.0
Central,Nov,232640.0
South,Feb,185561.0
West,Mar,292821.0
South,Dec,200398.0
East,Feb,256404.0
West,Dec,339270.0
West,Sep,266856.0
Central,Sep,215396.0
South,Aug,180403.0
East,Jun,227619.0
West,Jan,330053.0
South,Apr,156881.0
Central,Dec,240688.0
West,Oct,304515.0
Central,Jun,219362.0
Central,Aug,200748.0
East,Oct,312811.0
West,Jun,273521.0
West,Jul,279065.0
West,Nov,276377.0
East,Dec,291644.0
South,Jun,168541.0
East,Jul,255342.0
East,May,256434.0
South,Oct,181331.0
Central,Jul,217506.0
Central,Jan,239659.0
East,Aug,275618.0
Central,Feb,217302.0
South,May,182609.0
West,May,277930.0
West,Feb,211689.0
