state,total_sales,total_customers
Alabama,75055.0,30
Arizona,313801.0,93
Arkansas,65893.0,8
California,2406600.0,704
Colorado,275092.0,94
Connecticut,106441.0,34
Delaware,87757.0,23
District of Columbia,8663.0,3
Florida,459742.0,118
Georgia,149678.0,59
Illinois,567608.0,172
Indiana,146979.0,48
Iowa,17851.0,10
Kansas,35617.0,4
Kentucky,284480.0,68
Louisiana,58700.0,22
Maryland,29756.0,10
Massachusetts,141327.0,45
Michigan,223464.0,64
Minnesota,195347.0,52
Mississippi,77267.0,22
Missouri,78931.0,29
Nebraska,3838.0,4
Nevada,23928.0,6
New Hampshire,27076.0,8
New Jersey,180162.0,49
New Mexico,23855.0,16
New York,1193850.0,358
North Carolina,364373.0,131
Ohio,563305.0,168
Oklahoma,45579.0,13
Oregon,45087.0,11
Pennsylvania,602479.0,188
Rhode Island,61091.0,17
South Dakota,1610.0,2
Tennessee,171073.0,49
Texas,1165682.0,317
Utah,59193.0,21
Virginia,242738.0,59
Washington,535368.0,162
Wisconsin,87746.0,41
