state,total_sales,total_customers
Alabama,70350.0,24
Arizona,289100.0,58
Arkansas,64822.0,6
California,2146344.0,467
Colorado,250076.0,63
Connecticut,89283.0,22
Delaware,85565.0,20
District of Columbia,5512.0,1
Florida,423486.0,90
Georgia,128329.0,37
Illinois,463577.0,104
Indiana,135594.0,31
Iowa,13727.0,6
Kansas,34823.0,3
Kentucky,265633.0,50
Louisiana,54474.0,18
Maryland,28120.0,7
Massachusetts,131284.0,30
Michigan,203188.0,45
Minnesota,181532.0,36
Mississippi,69640.0,14
Missouri,69238.0,20
Nebraska,2793.0,2
Nevada,14941.0,3
New Hampshire,25100.0,5
New Jersey,171225.0,37
New Mexico,16545.0,9
New York,1050039.0,237
North Carolina,329134.0,82
Ohio,522467.0,121
Oklahoma,42395.0,9
Oregon,43199.0,9
Pennsylvania,538676.0,128
Rhode Island,58038.0,13
South Dakota,457.0,1
Tennessee,156449.0,31
Texas,1074919.0,224
Utah,50262.0,12
Virginia,230616.0,42
Washington,485265.0,117
Wisconsin,58189.0,21
