category,month,total_sales,total_profit
Furniture,Sep,191415.0,32237.0
Furniture,Oct,175868.0,32232.0
Furniture,Mar,208447.0,37960.0
Office Supplies,Feb,474768.0,84921.0
Technology,Jul,175785.0,30999.0
Office Supplies,Dec,561877.0,99507.0
Furniture,Aug,170877.0,30465.0
Office Supplies,Jul,446064.0,80751.0
Office Supplies,Jun,424496.0,76933.0
Technology,Sep,142723.0,25454.0
Technology,Dec,199552.0,35883.0
Technology,Jun,206702.0,38436.0
Office Supplies,Jan,505084.0,89986.0
Technology,Aug,167910.0,29029.0
Technology,Oct,215472.0,35918.0
Technology,Jan,201675.0,38175.0
Office Supplies,Mar,514132.0,86380.0
Office Supplies,Aug,472585.0,87136.0
Office Supplies,Sep,459080.0,77589.0
Office Supplies,Oct,525621.0,91307.0
Furniture,Nov,170379.0,28841.0
Office Supplies,Nov,457201.0,77748.0
Technology,May,182494.0,30775.0
Furniture,Feb,135885.0,25684.0
Office Supplies,Apr,441422.0,77872.0
Furniture,Jan,163312.0,28939.0
Furniture,Jun,142282.0,25938.0
Technology,Nov,202441.0,35159.0
Technology,Mar,163333.0,28957.0
Technology,Feb,161697.0,26618.0
Furniture,Apr,190211.0,34599.0
Technology,Apr,186128.0,32173.0
Furniture,Dec,177927.0,31755.0
Office Supplies,May,498377.0,89542.0
Furniture,Jul,144841.0,26403.0
Furniture,May,169801.0,32403.0
