region,month_name,total_sales
South,Mar,300577.0
South,Jan,264562.0
East,Apr,443951.0
East,Nov,431645.0
Central,May,376589.0
East,Mar,417777.0
Central,Oct,317530.0
South,Nov,227815.0
Central,Apr,350435.0
South,Jul,215886.0
Central,Mar,359067.0
East,Jan,421097.0
West,Apr,425414.0
East,Sep,399903.0
South,Sep,259162.0
West,Aug,406184.0
Central,Nov,350271.0
South,Feb,262333.0
West,Mar,428576.0
South,Dec,300912.0
East,Feb,369565.0
West,Dec,511860.0
West,Sep,397047.0
Central,Sep,318524.0
South,Aug,281658.0
East,Jun,344917.0
West,Jan,488176.0
South,Apr,235385.0
Central,Dec,360615.0
West,Oct,468078.0
Central,Jun,342168.0
Central,Aug,292567.0
East,Oct,468938.0
West,Jun,469807.0
West,Jul,417684.0
West,Nov,438392.0
East,Dec,431470.0
South,Jun,264979.0
East,Jul,419272.0
East,May,371552.0
South,Oct,269829.0
Central,Jul,362931.0
Central,Jan,359586.0
East,Aug,412655.0
Central,Feb,350086.0
South,May,268370.0
West,May,480872.0
West,Feb,353631.0
