segment,month_name,total_sales,total_profit
Corporate,Oct,261588.0,44892.0
Home Office,Jul,134888.0,23789.0
Consumer,Jul,344468.0,61802.0
Corporate,Mar,227958.0,38631.0
Consumer,Nov,329896.0,56767.0
Home Office,Aug,126818.0,21859.0
Consumer,Aug,382671.0,70234.0
Corporate,Aug,212751.0,37007.0
Home Office,Apr,134275.0,23700.0
Consumer,Jun,352898.0,63997.0
Consumer,May,384191.0,68076.0
Home Office,Sep,104429.0,17011.0
Corporate,Jul,198995.0,36354.0
Corporate,Dec,270777.0,47949.0
Corporate,May,250910.0,44749.0
Corporate,Apr,241435.0,41872.0
Home Office,May,131440.0,24188.0
Home Office,Jan,156158.0,28726.0
Home Office,Jun,113125.0,21451.0
Consumer,Sep,369334.0,63094.0
Home Office,Mar,155906.0,24777.0
Consumer,Apr,359609.0,63910.0
Home Office,Nov,157186.0,27498.0
Home Office,Oct,161360.0,28301.0
Consumer,Dec,425290.0,77626.0
Corporate,Nov,262499.0,43588.0
Corporate,Sep,209392.0,37152.0
Corporate,Feb,224909.0,37528.0
Home Office,Feb,132440.0,24172.0
Consumer,Mar,408618.0,72791.0
Consumer,Oct,418605.0,73355.0
Corporate,Jan,277929.0,48402.0
Consumer,Jan,361647.0,66900.0
Corporate,Jun,212600.0,37715.0
Home Office,Dec,139916.0,22822.0
Consumer,Feb,342372.0,63010.0
