region,month_name,total_sales
South,Mar,197745.0
South,Jan,175226.0
East,Apr,277676.0
East,Nov,275600.0
Central,May,240811.0
East,Mar,257390.0
Central,Oct,211305.0
South,Nov,156125.0
Central,Apr,234393.0
South,Jul,131446.0
Central,Mar,258266.0
East,Jan,276590.0
West,Apr,268056.0
East,Sep,239861.0
South,Sep,169860.0
West,Aug,254931.0
Central,Nov,230205.0
South,Feb,184629.0
West,Mar,288870.0
South,Dec,199676.0
East,Feb,253132.0
West,Dec,325920.0
West,Sep,263040.0
Central,Sep,212818.0
South,Aug,178171.0
East,Jun,224824.0
West,Jan,323509.0
South,Apr,153583.0
Central,Dec,233505.0
West,Oct,301171.0
Central,Jun,215401.0
Central,Aug,197322.0
East,Oct,310801.0
West,Jun,269235.0
West,Jul,269600.0
West,Nov,271022.0
East,Dec,288355.0
South,Jun,167637.0
East,Jul,252443.0
East,May,254230.0
South,Oct,179560.0
Central,Jul,212696.0
Central,Jan,230725.0
East,Aug,271425.0
Central,Feb,214307.0
South,May,178656.0
West,May,271446.0
West,Feb,207429.0
