state,total_sales,total_customers
Alabama,52407.0,6
Arizona,248943.0,26
Arkansas,53913.0,3
California,1811626.0,209
Colorado,216636.0,27
Connecticut,75759.0,9
Delaware,70497.0,8
District of Columbia,5512.0,1
Florida,371373.0,48
Georgia,107227.0,14
Illinois,407366.0,46
Indiana,107651.0,11
Iowa,10997.0,2
Kansas,34823.0,3
Kentucky,226560.0,22
Louisiana,41935.0,5
Maryland,22696.0,3
Massachusetts,112763.0,13
Michigan,185081.0,19
Minnesota,157307.0,16
Mississippi,56221.0,6
Missouri,52323.0,8
Nevada,9790.0,1
New Hampshire,22321.0,3
New Jersey,156184.0,19
New Mexico,6879.0,2
New York,923523.0,105
North Carolina,252338.0,32
Ohio,454420.0,56
Oklahoma,39656.0,6
Oregon,38126.0,3
Pennsylvania,477251.0,55
Rhode Island,48370.0,4
Tennessee,143166.0,17
Texas,901502.0,94
Utah,43612.0,6
Virginia,207026.0,23
Washington,393095.0,52
Wisconsin,47874.0,7
