segment,month_name,total_sales,total_profit
Corporate,Oct,268927.0,46288.0
Home Office,Jul,146256.0,25685.0
Consumer,Jul,362866.0,65475.0
Corporate,Mar,231268.0,39206.0
Consumer,Nov,342807.0,59028.0
Home Office,Aug,131223.0,22757.0
Consumer,Aug,394073.0,72450.0
Corporate,Aug,215509.0,37497.0
Home Office,Apr,137128.0,24208.0
Consumer,Jun,359755.0,65165.0
Consumer,May,396083.0,70536.0
Home Office,Sep,108438.0,17727.0
Corporate,Jul,202660.0,37159.0
Corporate,Dec,274490.0,48802.0
Corporate,May,255206.0,45417.0
Corporate,Apr,245265.0,42335.0
Home Office,May,139218.0,25684.0
Home Office,Jan,161120.0,29616.0
Home Office,Jun,117245.0,21934.0
Consumer,Sep,394992.0,66704.0
Home Office,Mar,159225.0,25354.0
Consumer,Apr,369674.0,65975.0
Home Office,Nov,161554.0,28248.0
Home Office,Oct,166514.0,29281.0
Consumer,Dec,433392.0,79206.0
Corporate,Nov,267018.0,44460.0
Corporate,Sep,219046.0,39027.0
Corporate,Feb,230580.0,38449.0
Home Office,Feb,138394.0,25481.0
Consumer,Mar,418635.0,74462.0
Consumer,Oct,427513.0,75008.0
Corporate,Jan,283816.0,49331.0
Consumer,Jan,370207.0,68453.0
Corporate,Jun,227641.0,41359.0
Home Office,Dec,146035.0,23809.0
Consumer,Feb,348481.0,63854.0
