segment,month_name,total_sales,total_profit
Corporate,Oct,481513.0,83633.0
Home Office,Jul,313072.0,54076.0
Consumer,Jul,702959.0,123591.0
Corporate,Mar,466159.0,79068.0
Consumer,Nov,700675.0,122177.0
Home Office,Aug,243846.0,41953.0
Consumer,Aug,762840.0,139473.0
Corporate,Aug,416136.0,73567.0
Home Office,Apr,245640.0,43861.0
Consumer,Jun,761850.0,134311.0
Consumer,May,778910.0,137528.0
Home Office,Sep,241030.0,41284.0
Corporate,Jul,425155.0,75926.0
Corporate,Dec,533511.0,97385.0
Corporate,May,458444.0,80835.0
Corporate,Apr,471776.0,80797.0
Home Office,May,298908.0,54766.0
Home Office,Jan,293778.0,53245.0
Home Office,Jun,254506.0,45461.0
Consumer,Sep,762313.0,132938.0
Home Office,Mar,289139.0,47856.0
Consumer,Apr,762653.0,136561.0
Home Office,Nov,274445.0,47563.0
Home Office,Oct,291884.0,51079.0
Consumer,Dec,824388.0,145265.0
Corporate,Nov,503698.0,87813.0
Corporate,Sep,409757.0,72125.0
Corporate,Feb,430068.0,74165.0
Home Office,Feb,245907.0,43568.0
Consumer,Mar,777970.0,135211.0
Consumer,Oct,784081.0,136445.0
Corporate,Jan,503740.0,89167.0
Consumer,Jan,759167.0,139789.0
Corporate,Jun,439454.0,78312.0
Home Office,Dec,278503.0,46845.0
Consumer,Feb,687669.0,122675.0
