category,month,total_sales,total_profit
Furniture,Sep,302859.0,52382.0
Furniture,Oct,266174.0,48837.0
Furniture,Mar,336689.0,58461.0
Office Supplies,Feb,798288.0,140319.0
Technology,Jul,313819.0,56091.0
Office Supplies,Dec,960915.0,169390.0
Furniture,Aug,289792.0,51891.0
Office Supplies,Jul,833006.0,145985.0
Office Supplies,Jun,786970.0,140781.0
Technology,Sep,251994.0,43639.0
Technology,Dec,327239.0,57571.0
Technology,Jun,343943.0,62601.0
Office Supplies,Jan,913291.0,164355.0
Technology,Aug,333575.0,57557.0
Technology,Oct,368769.0,61704.0
Technology,Jan,336341.0,62511.0
Office Supplies,Mar,872661.0,146833.0
Office Supplies,Aug,769697.0,140218.0
Office Supplies,Sep,819783.0,142577.0
Office Supplies,Oct,889432.0,155420.0
Furniture,Nov,291271.0,49917.0
Office Supplies,Nov,809813.0,139839.0
Technology,May,319680.0,54574.0
Furniture,Feb,238482.0,43358.0
Office Supplies,Apr,797468.0,141036.0
Furniture,Jan,283789.0,50849.0
Furniture,Jun,290958.0,49661.0
Technology,Nov,347039.0,62418.0
Technology,Mar,296647.0,52255.0
Technology,Feb,298845.0,50947.0
Furniture,Apr,332120.0,58673.0
Technology,Apr,325597.0,56666.0
Furniture,Dec,316703.0,57316.0
Office Supplies,May,865357.0,153975.0
Furniture,Jul,268948.0,47036.0
Furniture,May,312346.0,57348.0
