region,month_name,total_sales
South,Mar,170467.0
South,Jan,150637.0
East,Apr,238778.0
East,Nov,244927.0
Central,May,216325.0
East,Mar,228804.0
Central,Oct,191211.0
South,Nov,141625.0
Central,Apr,200349.0
South,Jul,120108.0
Central,Mar,224591.0
East,Jan,244562.0
West,Apr,234635.0
East,Sep,213855.0
South,Sep,156079.0
West,Aug,218682.0
Central,Nov,189949.0
South,Feb,165748.0
West,Mar,257279.0
South,Dec,169299.0
East,Feb,226306.0
West,Dec,291844.0
West,Sep,237592.0
Central,Sep,181570.0
South,Aug,161051.0
East,Jun,206426.0
West,Jan,281416.0
South,Apr,140490.0
Central,Dec,206629.0
West,Oct,274991.0
Central,Jun,183560.0
Central,Aug,179274.0
East,Oct,276539.0
West,Jun,232546.0
West,Jul,237841.0
West,Nov,249803.0
East,Dec,256027.0
South,Jun,148666.0
East,Jul,212637.0
East,May,232024.0
South,Oct,169860.0
Central,Jul,190994.0
Central,Jan,190215.0
East,Aug,248777.0
Central,Feb,194528.0
South,May,166978.0
West,May,232042.0
West,Feb,182889.0
