region,month_name,total_sales
South,Mar,186034.0
South,Jan,155635.0
East,Apr,243868.0
East,Nov,252628.0
Central,May,224923.0
East,Mar,237794.0
Central,Oct,197211.0
South,Nov,148596.0
Central,Apr,214193.0
South,Jul,125802.0
Central,Mar,240700.0
East,Jan,262128.0
West,Apr,242981.0
East,Sep,222688.0
South,Sep,162232.0
West,Aug,227934.0
Central,Nov,196383.0
South,Feb,178173.0
West,Mar,265524.0
South,Dec,188154.0
East,Feb,236034.0
West,Dec,301299.0
West,Sep,247342.0
Central,Sep,194483.0
South,Aug,166733.0
East,Jun,211637.0
West,Jan,301103.0
South,Apr,143305.0
Central,Dec,223220.0
West,Oct,283267.0
Central,Jun,201064.0
Central,Aug,186142.0
East,Oct,284327.0
West,Jun,245267.0
West,Jul,245458.0
West,Nov,257812.0
East,Dec,266485.0
South,Jun,154208.0
East,Jul,232387.0
East,May,239617.0
South,Oct,173542.0
Central,Jul,198480.0
Central,Jan,200017.0
East,Aug,258360.0
Central,Feb,200867.0
South,May,171830.0
West,May,243083.0
West,Feb,187982.0
