region,month_name,total_sales
South,Mar,164590.0
South,Jan,148016.0
East,Apr,231503.0
East,Nov,236445.0
Central,May,205878.0
East,Mar,217343.0
Central,Oct,181651.0
South,Nov,137521.0
Central,Apr,192145.0
South,Jul,118003.0
Central,Mar,219109.0
East,Jan,237642.0
West,Apr,230751.0
East,Sep,207259.0
South,Sep,148389.0
West,Aug,211672.0
Central,Nov,179329.0
South,Feb,163845.0
West,Mar,238619.0
South,Dec,156929.0
East,Feb,218512.0
West,Dec,275910.0
West,Sep,220857.0
Central,Sep,168325.0
South,Aug,158586.0
East,Jun,202632.0
West,Jan,267158.0
South,Apr,135179.0
Central,Dec,191644.0
West,Oct,266072.0
Central,Jun,171312.0
Central,Aug,170287.0
East,Oct,270454.0
West,Jun,223573.0
West,Jul,226239.0
West,Nov,237404.0
East,Dec,251937.0
South,Jun,133215.0
East,Jul,208533.0
East,May,224383.0
South,Oct,167707.0
Central,Jul,179318.0
Central,Jan,183750.0
East,Aug,232560.0
Central,Feb,187265.0
South,May,164334.0
West,May,225886.0
West,Feb,172235.0
