category,month,total_sales,total_profit
Furniture,Sep,318262.0,56043.0
Furniture,Oct,278620.0,50880.0
Furniture,Mar,344182.0,59746.0
Office Supplies,Feb,815782.0,144033.0
Technology,Jul,317752.0,56742.0
Office Supplies,Dec,986897.0,173436.0
Furniture,Aug,297328.0,53381.0
Office Supplies,Jul,852894.0,149541.0
Office Supplies,Jun,807015.0,143945.0
Technology,Sep,258482.0,44755.0
Technology,Dec,334911.0,59049.0
Technology,Jun,350126.0,63745.0
Office Supplies,Jan,927771.0,167407.0
Technology,Aug,338075.0,58338.0
Technology,Oct,376541.0,63084.0
Technology,Jan,342547.0,63666.0
Office Supplies,Mar,889720.0,150054.0
Office Supplies,Aug,791884.0,144191.0
Office Supplies,Sep,850751.0,148529.0
Office Supplies,Oct,907262.0,158013.0
Furniture,Nov,295917.0,50757.0
Office Supplies,Nov,831219.0,143493.0
Technology,May,327701.0,55993.0
Furniture,Feb,245205.0,44725.0
Office Supplies,Apr,816620.0,144509.0
Furniture,Jan,290184.0,52032.0
Furniture,Jun,304803.0,51466.0
Technology,Nov,356304.0,64048.0
Technology,Mar,306413.0,53590.0
Technology,Feb,305059.0,52080.0
Furniture,Apr,337519.0,59787.0
Technology,Apr,331145.0,57773.0
Furniture,Dec,322127.0,58166.0
Office Supplies,May,895136.0,159542.0
Furniture,Jul,277135.0,48600.0
Furniture,May,321734.0,59034.0
