category,month,total_sales,total_profit
Furniture,Sep,210111.0,36464.0
Furniture,Oct,183650.0,33527.0
Furniture,Mar,224911.0,40597.0
Office Supplies,Feb,507898.0,90449.0
Technology,Jul,189802.0,33860.0
Office Supplies,Dec,612072.0,108908.0
Furniture,Aug,180856.0,31928.0
Office Supplies,Jul,484390.0,86041.0
Office Supplies,Jun,458149.0,82473.0
Technology,Sep,154497.0,27406.0
Technology,Dec,207149.0,37073.0
Technology,Jun,213654.0,39547.0
Office Supplies,Jan,568507.0,102783.0
Technology,Aug,180584.0,31021.0
Technology,Oct,226888.0,38136.0
Technology,Jan,215644.0,40444.0
Office Supplies,Mar,547528.0,92334.0
Office Supplies,Aug,505583.0,94064.0
Office Supplies,Sep,485649.0,82187.0
Office Supplies,Oct,550929.0,95632.0
Furniture,Nov,180333.0,30587.0
Office Supplies,Nov,489705.0,84402.0
Technology,May,194283.0,32811.0
Furniture,Feb,144777.0,27077.0
Office Supplies,Apr,478205.0,84630.0
Furniture,Jan,169877.0,29914.0
Furniture,Jun,162320.0,29928.0
Technology,Nov,215431.0,37576.0
Technology,Mar,186988.0,32929.0
Technology,Feb,170399.0,28228.0
Furniture,Apr,206914.0,36766.0
Technology,Apr,195328.0,33815.0
Furniture,Dec,187944.0,33434.0
Office Supplies,May,523309.0,93838.0
Furniture,Jul,155407.0,28164.0
Furniture,May,181569.0,34499.0
