state,total_sales,total_customers
Alabama,70909.0,25
Arizona,299929.0,70
Arkansas,65212.0,7
California,2220954.0,525
Colorado,250076.0,63
Connecticut,101989.0,28
Delaware,85942.0,21
District of Columbia,5512.0,1
Florida,432259.0,96
Georgia,132139.0,41
Illinois,509817.0,123
Indiana,139170.0,36
Iowa,15116.0,7
Kansas,34823.0,3
Kentucky,274259.0,56
Louisiana,55745.0,19
Maryland,29268.0,9
Massachusetts,132856.0,34
Michigan,212021.0,53
Minnesota,187315.0,42
Mississippi,73887.0,17
Missouri,69861.0,21
Nebraska,3358.0,3
Nevada,14941.0,3
New Hampshire,25100.0,5
New Jersey,173055.0,39
New Mexico,20618.0,13
New York,1074049.0,266
North Carolina,340019.0,96
Ohio,535316.0,135
Oklahoma,42395.0,9
Oregon,43199.0,9
Pennsylvania,551410.0,142
Rhode Island,58038.0,13
South Dakota,457.0,1
Tennessee,162735.0,39
Texas,1105079.0,245
Utah,56475.0,17
Virginia,232350.0,47
Washington,495816.0,128
Wisconsin,71160.0,25
