segment,month_name,total_sales,total_profit
Corporate,Oct,249804.0,43430.0
Home Office,Jul,129246.0,22991.0
Consumer,Jul,337204.0,60713.0
Corporate,Mar,222809.0,37479.0
Consumer,Nov,322165.0,54973.0
Home Office,Aug,121364.0,21213.0
Consumer,Aug,374049.0,68614.0
Corporate,Aug,208578.0,36273.0
Home Office,Apr,123970.0,21419.0
Consumer,Jun,346788.0,62875.0
Consumer,May,367453.0,65165.0
Home Office,Sep,99091.0,16096.0
Corporate,Jul,195590.0,35832.0
Corporate,Dec,266481.0,47268.0
Corporate,May,239021.0,42457.0
Corporate,Apr,236128.0,41059.0
Home Office,May,129875.0,23955.0
Home Office,Jan,142068.0,25753.0
Home Office,Jun,104945.0,19488.0
Consumer,Sep,361274.0,61583.0
Home Office,Mar,150965.0,23931.0
Consumer,Apr,352862.0,62622.0
Home Office,Nov,137887.0,24155.0
Home Office,Oct,157648.0,27569.0
Consumer,Dec,401277.0,71278.0
Corporate,Nov,250109.0,40716.0
Corporate,Sep,198566.0,34703.0
Corporate,Feb,220218.0,36815.0
Home Office,Feb,112120.0,20089.0
Consumer,Mar,403291.0,71908.0
Consumer,Oct,387370.0,67523.0
Corporate,Jan,270367.0,47262.0
Consumer,Jan,349339.0,64172.0
Corporate,Jun,208086.0,36881.0
Home Office,Dec,138703.0,22584.0
Consumer,Feb,335885.0,62120.0
