segment,month_name,total_sales,total_profit
Corporate,Oct,328791.0,56227.0
Home Office,Jul,187785.0,32626.0
Consumer,Jul,477670.0,85040.0
Corporate,Mar,298897.0,51967.0
Consumer,Nov,460463.0,79833.0
Home Office,Aug,157095.0,27140.0
Consumer,Aug,518473.0,95286.0
Corporate,Aug,285523.0,50865.0
Home Office,Apr,178418.0,32187.0
Consumer,Jun,478567.0,85721.0
Consumer,May,503991.0,89317.0
Home Office,Sep,154326.0,25693.0
Corporate,Jul,257978.0,48180.0
Corporate,Dec,371994.0,65720.0
Corporate,May,311108.0,55795.0
Corporate,Apr,307100.0,53503.0
Home Office,May,176395.0,32308.0
Home Office,Jan,199221.0,36084.0
Home Office,Jun,161833.0,30471.0
Consumer,Sep,527349.0,90704.0
Home Office,Mar,206424.0,33301.0
Consumer,Apr,501848.0,90229.0
Home Office,Nov,194735.0,33954.0
Home Office,Oct,200037.0,34855.0
Consumer,Dec,554451.0,100253.0
Corporate,Nov,346738.0,58838.0
Corporate,Sep,285998.0,50414.0
Corporate,Feb,293348.0,50053.0
Home Office,Feb,167187.0,30380.0
Consumer,Mar,563158.0,99772.0
Consumer,Oct,527945.0,91316.0
Corporate,Jan,358978.0,63581.0
Consumer,Jan,506323.0,93757.0
Corporate,Jun,296090.0,52655.0
Home Office,Dec,184738.0,31017.0
Consumer,Feb,463361.0,82972.0
