category,month,total_sales,total_profit
Furniture,Sep,205113.0,35559.0
Furniture,Oct,178264.0,32608.0
Furniture,Mar,219471.0,39654.0
Office Supplies,Feb,496090.0,88308.0
Technology,Jul,183550.0,32548.0
Office Supplies,Dec,590197.0,104731.0
Furniture,Aug,177860.0,31489.0
Office Supplies,Jul,468549.0,83521.0
Office Supplies,Jun,442554.0,79966.0
Technology,Sep,147246.0,26325.0
Technology,Dec,202932.0,36399.0
Technology,Jun,210723.0,39045.0
Office Supplies,Jan,540379.0,97645.0
Technology,Aug,175881.0,30379.0
Technology,Oct,219379.0,36659.0
Technology,Jan,207430.0,39121.0
Office Supplies,Mar,527105.0,88867.0
Office Supplies,Aug,485060.0,89595.0
Office Supplies,Sep,471716.0,79651.0
Office Supplies,Oct,537704.0,93402.0
Furniture,Nov,177033.0,30005.0
Office Supplies,Nov,466922.0,79611.0
Technology,May,188319.0,31838.0
Furniture,Feb,140630.0,26592.0
Office Supplies,Apr,452018.0,79856.0
Furniture,Jan,168248.0,29650.0
Furniture,Jun,157505.0,29038.0
Technology,Nov,209838.0,36536.0
Technology,Mar,181465.0,32011.0
Technology,Feb,165402.0,27296.0
Furniture,Apr,202242.0,36056.0
Technology,Apr,189423.0,32738.0
Furniture,Dec,182251.0,32444.0
Office Supplies,May,510287.0,91699.0
Furniture,Jul,147544.0,26902.0
Furniture,May,178299.0,33782.0
