region,month_name,total_sales
South,Mar,186936.0
South,Jan,155635.0
East,Apr,254739.0
East,Nov,255311.0
Central,May,227841.0
East,Mar,238337.0
Central,Oct,199334.0
South,Nov,149625.0
Central,Apr,215862.0
South,Jul,127199.0
Central,Mar,242303.0
East,Jan,263489.0
West,Apr,245396.0
East,Sep,223741.0
South,Sep,163255.0
West,Aug,231088.0
Central,Nov,197235.0
South,Feb,178428.0
West,Mar,269698.0
South,Dec,189482.0
East,Feb,237845.0
West,Dec,304053.0
West,Sep,248254.0
Central,Sep,196728.0
South,Aug,168464.0
East,Jun,213054.0
West,Jan,302378.0
South,Apr,144224.0
Central,Dec,224493.0
West,Oct,284206.0
Central,Jun,203445.0
Central,Aug,187548.0
East,Oct,286023.0
West,Jun,248134.0
West,Jul,247325.0
West,Nov,259446.0
East,Dec,267556.0
South,Jun,154577.0
East,Jul,233314.0
East,May,240273.0
South,Oct,174277.0
Central,Jul,200536.0
Central,Jan,210952.0
East,Aug,258801.0
Central,Feb,202507.0
South,May,174002.0
West,May,244008.0
West,Feb,189168.0
