region,month_name,total_sales
South,Mar,188355.0
South,Jan,159041.0
East,Apr,258395.0
East,Nov,262331.0
Central,May,231356.0
East,Mar,246977.0
Central,Oct,202848.0
South,Nov,152337.0
Central,Apr,219786.0
South,Jul,128867.0
Central,Mar,246364.0
East,Jan,268005.0
West,Apr,255838.0
East,Sep,228412.0
South,Sep,166718.0
West,Aug,242606.0
Central,Nov,212541.0
South,Feb,181232.0
West,Mar,280627.0
South,Dec,192495.0
East,Feb,242985.0
West,Dec,314936.0
West,Sep,253202.0
Central,Sep,204578.0
South,Aug,170101.0
East,Jun,216861.0
West,Jan,309456.0
South,Apr,148511.0
Central,Dec,228743.0
West,Oct,291992.0
Central,Jun,208369.0
Central,Aug,191680.0
East,Oct,290179.0
West,Jun,251316.0
West,Jul,256877.0
West,Nov,261992.0
East,Dec,272876.0
South,Jun,159389.0
East,Jul,241658.0
East,May,243113.0
South,Oct,177076.0
Central,Jul,204131.0
Central,Jan,219007.0
East,Aug,264757.0
Central,Feb,206372.0
South,May,175989.0
West,May,250061.0
West,Feb,194284.0
