region,month_name,total_sales
South,Mar,192779.0
South,Jan,174765.0
East,Apr,276384.0
East,Nov,274475.0
Central,May,240040.0
East,Mar,256390.0
Central,Oct,210167.0
South,Nov,154979.0
Central,Apr,231907.0
South,Jul,130705.0
Central,Mar,257870.0
East,Jan,276590.0
West,Apr,266972.0
East,Sep,238668.0
South,Sep,169501.0
West,Aug,253012.0
Central,Nov,227711.0
South,Feb,183766.0
West,Mar,288870.0
South,Dec,198174.0
East,Feb,251128.0
West,Dec,325357.0
West,Sep,261723.0
Central,Sep,212818.0
South,Aug,176445.0
East,Jun,223131.0
West,Jan,322297.0
South,Apr,152533.0
Central,Dec,232296.0
West,Oct,299708.0
Central,Jun,214658.0
Central,Aug,196255.0
East,Oct,310334.0
West,Jun,266569.0
West,Jul,268719.0
West,Nov,268138.0
East,Dec,288161.0
South,Jun,164852.0
East,Jul,251923.0
East,May,253748.0
South,Oct,179441.0
Central,Jul,211441.0
Central,Jan,230018.0
East,Aug,270718.0
Central,Feb,213690.0
South,May,177978.0
West,May,269952.0
West,Feb,206326.0
