category,month,total_sales,total_profit
Furniture,Sep,219750.0,38161.0
Furniture,Oct,193024.0,35386.0
Furniture,Mar,236830.0,42634.0
Office Supplies,Feb,539633.0,95447.0
Technology,Jul,203272.0,36274.0
Office Supplies,Dec,657574.0,116887.0
Furniture,Aug,193512.0,34387.0
Office Supplies,Jul,528332.0,94847.0
Office Supplies,Jun,483877.0,87382.0
Technology,Sep,166968.0,29218.0
Technology,Dec,224929.0,38961.0
Technology,Jun,228090.0,42280.0
Office Supplies,Jan,621494.0,113092.0
Technology,Aug,190240.0,32879.0
Technology,Oct,248769.0,41266.0
Technology,Jan,229544.0,43146.0
Office Supplies,Mar,585625.0,99526.0
Office Supplies,Aug,536884.0,99055.0
Office Supplies,Sep,520890.0,87955.0
Office Supplies,Oct,577350.0,99969.0
Furniture,Nov,191727.0,32570.0
Office Supplies,Nov,531321.0,90775.0
Technology,May,204188.0,34622.0
Furniture,Feb,154169.0,28730.0
Office Supplies,Apr,519299.0,93007.0
Furniture,Jan,185373.0,32694.0
Furniture,Jun,179428.0,31997.0
Technology,Nov,242940.0,42688.0
Technology,Mar,201564.0,35607.0
Technology,Feb,180631.0,29905.0
Furniture,Apr,217181.0,38812.0
Technology,Apr,214308.0,37101.0
Furniture,Dec,195965.0,35018.0
Office Supplies,May,561643.0,100327.0
Furniture,Jul,164205.0,29603.0
Furniture,May,197297.0,37022.0
