category,month,total_sales,total_profit
Furniture,Sep,186190.0,31483.0
Furniture,Oct,169967.0,31261.0
Furniture,Mar,199896.0,36625.0
Office Supplies,Feb,450061.0,80422.0
Technology,Jul,163990.0,29048.0
Office Supplies,Dec,527029.0,93349.0
Furniture,Aug,164179.0,29252.0
Office Supplies,Jul,424057.0,77042.0
Office Supplies,Jun,401787.0,72727.0
Technology,Sep,132413.0,23891.0
Technology,Dec,182713.0,31980.0
Technology,Jun,198372.0,37104.0
Office Supplies,Jan,481750.0,86011.0
Technology,Aug,159703.0,27752.0
Technology,Oct,208069.0,34439.0
Technology,Jan,192388.0,36375.0
Office Supplies,Mar,486841.0,81468.0
Office Supplies,Aug,433226.0,78156.0
Office Supplies,Sep,423013.0,71505.0
Office Supplies,Oct,501400.0,87355.0
Furniture,Nov,158857.0,26701.0
Office Supplies,Nov,431193.0,73234.0
Technology,May,168244.0,28363.0
Furniture,Feb,128085.0,24334.0
Office Supplies,Apr,422450.0,74757.0
Furniture,Jan,157316.0,27874.0
Furniture,Jun,124580.0,22151.0
Technology,Nov,189952.0,33532.0
Technology,Mar,148865.0,26181.0
Technology,Feb,155104.0,25180.0
Furniture,Apr,182802.0,33200.0
Technology,Apr,179495.0,31019.0
Furniture,Dec,161301.0,29586.0
Office Supplies,May,479175.0,86141.0
Furniture,Jul,139734.0,25372.0
Furniture,May,164185.0,31356.0
