region,month_name,total_sales
South,Mar,163090.0
Central,Sep,165087.0
South,Aug,144767.0
South,Jan,144336.0
East,Jun,193762.0
West,Jan,259091.0
South,Apr,134773.0
East,Apr,218013.0
East,Nov,231426.0
Central,Dec,185848.0
West,Oct,258895.0
Central,May,195462.0
Central,Jun,168399.0
East,Mar,211004.0
Central,Aug,168411.0
East,Oct,263573.0
Central,Oct,179838.0
South,Nov,136999.0
West,Jun,215798.0
Central,Apr,185252.0
South,Jul,115860.0
West,Jul,220834.0
West,Nov,228633.0
Central,Mar,215184.0
East,Jan,234124.0
West,Apr,227239.0
East,Sep,203223.0
East,Dec,245526.0
South,Jun,131141.0
East,Jul,205061.0
East,May,219870.0
South,Sep,146371.0
West,Aug,208264.0
South,Oct,164986.0
Central,Jul,175478.0
Central,Jan,181633.0
East,Aug,227127.0
Central,Nov,176016.0
South,Feb,161128.0
West,Mar,225945.0
Central,Feb,183990.0
South,Dec,154583.0
East,Feb,208506.0
South,May,162198.0
West,Dec,272321.0
West,Sep,218167.0
West,May,215027.0
West,Feb,167631.0
