category,month,total_sales,total_profit
Furniture,Sep,215539.0,37375.0
Furniture,Oct,189939.0,34608.0
Furniture,Mar,233252.0,42258.0
Office Supplies,Feb,528836.0,93570.0
Technology,Jul,200235.0,35663.0
Office Supplies,Dec,640180.0,113532.0
Furniture,Aug,186559.0,33005.0
Office Supplies,Jul,501390.0,89434.0
Office Supplies,Jun,471962.0,85100.0
Technology,Sep,164241.0,28768.0
Technology,Dec,211864.0,37690.0
Technology,Jun,222477.0,41090.0
Office Supplies,Jan,603740.0,109995.0
Technology,Aug,186306.0,32162.0
Technology,Oct,242461.0,40279.0
Technology,Jan,224235.0,42062.0
Office Supplies,Mar,569374.0,96750.0
Office Supplies,Aug,523565.0,96871.0
Office Supplies,Sep,502930.0,85350.0
Office Supplies,Oct,567250.0,98349.0
Furniture,Nov,186862.0,31718.0
Office Supplies,Nov,508760.0,87474.0
Technology,May,201302.0,34013.0
Furniture,Feb,150368.0,28041.0
Office Supplies,Apr,506780.0,90179.0
Furniture,Jan,175695.0,30984.0
Furniture,Jun,174771.0,31175.0
Technology,Nov,229681.0,40245.0
Technology,Mar,193283.0,34262.0
Technology,Feb,175706.0,29152.0
Furniture,Apr,211753.0,37771.0
Technology,Apr,209263.0,36236.0
Furniture,Dec,191944.0,34320.0
Office Supplies,May,548324.0,97755.0
Furniture,Jul,161163.0,29139.0
Furniture,May,192092.0,36224.0
