segment,month_name,total_sales,total_profit
Corporate,Oct,274636.0,46937.0
Home Office,Jul,149995.0,26483.0
Consumer,Jul,370273.0,66932.0
Corporate,Mar,237157.0,40329.0
Consumer,Nov,346867.0,59781.0
Home Office,Aug,133214.0,23110.0
Consumer,Aug,405368.0,74055.0
Corporate,Aug,216498.0,37682.0
Home Office,Apr,141682.0,25188.0
Consumer,Jun,370218.0,66706.0
Consumer,May,399627.0,71087.0
Home Office,Sep,111125.0,18273.0
Corporate,Jul,205209.0,37645.0
Corporate,Dec,278240.0,49575.0
Corporate,May,268595.0,48463.0
Corporate,Apr,250721.0,43261.0
Home Office,May,140481.0,25863.0
Home Office,Jan,163101.0,30044.0
Home Office,Jun,120631.0,22733.0
Consumer,Sep,408083.0,69006.0
Home Office,Mar,170608.0,27962.0
Consumer,Apr,390948.0,70309.0
Home Office,Nov,162679.0,28423.0
Home Office,Oct,168570.0,29590.0
Consumer,Dec,441397.0,80722.0
Corporate,Nov,268242.0,44711.0
Corporate,Sep,221129.0,39383.0
Corporate,Feb,233930.0,38936.0
Home Office,Feb,139046.0,25620.0
Consumer,Mar,427060.0,75875.0
Consumer,Oct,434260.0,76122.0
Corporate,Jan,287507.0,49943.0
Consumer,Jan,377817.0,69920.0
Corporate,Jun,231752.0,42091.0
Home Office,Dec,149025.0,24317.0
Consumer,Feb,359179.0,65209.0
