region,month_name,total_sales
South,Mar,309584.0
South,Jan,271514.0
East,Apr,451727.0
East,Nov,444509.0
Central,May,383513.0
East,Mar,426292.0
Central,Oct,322430.0
South,Nov,235057.0
Central,Apr,360155.0
South,Jul,223235.0
Central,Mar,367314.0
East,Jan,429595.0
West,Apr,435072.0
East,Sep,423652.0
South,Sep,274185.0
West,Aug,418604.0
Central,Nov,358842.0
South,Feb,268542.0
West,Mar,439386.0
South,Dec,307673.0
East,Feb,376944.0
West,Dec,523016.0
West,Sep,407481.0
Central,Sep,323351.0
South,Aug,289561.0
East,Jun,362873.0
West,Jan,497748.0
South,Apr,242733.0
Central,Dec,373698.0
West,Oct,487375.0
Central,Jun,347096.0
Central,Aug,296476.0
East,Oct,475362.0
West,Jun,483139.0
West,Jul,426134.0
West,Nov,451845.0
East,Dec,444199.0
South,Jun,272674.0
East,Jul,426145.0
East,May,391710.0
South,Oct,279397.0
Central,Jul,374477.0
Central,Jan,362843.0
East,Aug,423095.0
Central,Feb,359525.0
South,May,276995.0
West,May,494920.0
West,Feb,362337.0
