region,month_name,total_sales
South,Mar,167984.0
South,Jan,149915.0
East,Apr,233592.0
East,Nov,239329.0
Central,May,212529.0
East,Mar,223585.0
Central,Oct,184877.0
South,Nov,138365.0
Central,Apr,195052.0
South,Jul,118667.0
Central,Mar,221928.0
East,Jan,240329.0
West,Apr,232269.0
East,Sep,209324.0
South,Sep,150480.0
West,Aug,213098.0
Central,Nov,182447.0
South,Feb,164666.0
West,Mar,240390.0
South,Dec,157677.0
East,Feb,222130.0
West,Dec,286255.0
West,Sep,234201.0
Central,Sep,171929.0
South,Aug,160037.0
East,Jun,204842.0
West,Jan,275508.0
South,Apr,136826.0
Central,Dec,200915.0
West,Oct,269535.0
Central,Jun,173665.0
Central,Aug,174037.0
East,Oct,272460.0
West,Jun,227888.0
West,Jul,229625.0
West,Nov,239705.0
East,Dec,253121.0
South,Jun,135338.0
East,Jul,210491.0
East,May,226682.0
South,Oct,168987.0
Central,Jul,182113.0
Central,Jan,186588.0
East,Aug,245469.0
Central,Feb,188768.0
South,May,165558.0
West,May,226543.0
West,Feb,174811.0
