state,total_sales,total_customers
Alabama,62413.0,16
Arizona,276043.0,43
Arkansas,53913.0,3
California,1986906.0,329
Colorado,235631.0,42
Connecticut,77885.0,12
Delaware,73606.0,14
District of Columbia,5512.0,1
Florida,403060.0,68
Georgia,119635.0,26
Illinois,435849.0,73
Indiana,123627.0,20
Iowa,12972.0,4
Kansas,34823.0,3
Kentucky,240797.0,33
Louisiana,51090.0,14
Maryland,23776.0,4
Massachusetts,124600.0,22
Michigan,195631.0,30
Minnesota,175059.0,26
Mississippi,66974.0,11
Missouri,67265.0,15
Nevada,13495.0,2
New Hampshire,22321.0,3
New Jersey,161961.0,24
New Mexico,8809.0,4
New York,981032.0,166
North Carolina,277810.0,54
Ohio,496656.0,93
Oklahoma,42395.0,9
Oregon,42738.0,8
Pennsylvania,504240.0,90
Rhode Island,50746.0,6
South Dakota,457.0,1
Tennessee,151237.0,23
Texas,979748.0,154
Utah,45281.0,9
Virginia,212797.0,29
Washington,428460.0,77
Wisconsin,52640.0,12
