region,month_name,total_sales
South,Mar,304514.0
South,Jan,268728.0
East,Apr,447518.0
East,Nov,437672.0
Central,May,381201.0
East,Mar,422179.0
Central,Oct,320711.0
South,Nov,232902.0
Central,Apr,355207.0
South,Jul,219976.0
Central,Mar,364029.0
East,Jan,427812.0
West,Apr,430770.0
East,Sep,410366.0
South,Sep,271825.0
West,Aug,414204.0
Central,Nov,355036.0
South,Feb,267595.0
West,Mar,434560.0
South,Dec,305214.0
East,Feb,374852.0
West,Dec,517592.0
West,Sep,404551.0
Central,Sep,320406.0
South,Aug,287290.0
East,Jun,349471.0
West,Jan,494383.0
South,Apr,239855.0
Central,Dec,367977.0
West,Oct,483227.0
Central,Jun,345622.0
Central,Aug,295871.0
East,Oct,472673.0
West,Jun,475608.0
West,Jul,424943.0
West,Nov,444414.0
East,Dec,438526.0
South,Jun,267310.0
East,Jul,423572.0
East,May,381404.0
South,Oct,273591.0
Central,Jul,368926.0
Central,Jan,360702.0
East,Aug,420463.0
Central,Feb,355629.0
South,May,273502.0
West,May,489851.0
West,Feb,359248.0
