region,month_name,total_sales
South,Mar,300577.0
South,Jan,264562.0
East,Apr,443951.0
East,Nov,431934.0
Central,May,376589.0
East,Mar,417777.0
Central,Oct,317897.0
South,Nov,228403.0
Central,Apr,350702.0
South,Jul,216062.0
Central,Mar,359067.0
East,Jan,425250.0
West,Apr,425625.0
East,Sep,400113.0
South,Sep,269882.0
West,Aug,406644.0
Central,Nov,350358.0
South,Feb,263199.0
West,Mar,428576.0
South,Dec,302735.0
East,Feb,369687.0
West,Dec,511860.0
West,Sep,397449.0
Central,Sep,318524.0
South,Aug,282127.0
East,Jun,345630.0
West,Jan,490408.0
South,Apr,236943.0
Central,Dec,361040.0
West,Oct,468740.0
Central,Jun,342168.0
Central,Aug,293337.0
East,Oct,469360.0
West,Jun,469807.0
West,Jul,419142.0
West,Nov,438392.0
East,Dec,432044.0
South,Jun,265140.0
East,Jul,419594.0
East,May,371836.0
South,Oct,269917.0
Central,Jul,363787.0
Central,Jan,359586.0
East,Aug,413432.0
Central,Feb,350086.0
South,May,269773.0
West,May,481465.0
West,Feb,354558.0
