category,month,total_sales,total_profit
Furniture,Sep,210548.0,36554.0
Furniture,Oct,184063.0,33558.0
Furniture,Mar,225687.0,40729.0
Office Supplies,Feb,509757.0,90706.0
Technology,Jul,189973.0,33906.0
Office Supplies,Dec,613536.0,109109.0
Furniture,Aug,181358.0,31972.0
Office Supplies,Jul,486164.0,86323.0
Office Supplies,Jun,460663.0,83061.0
Technology,Sep,156883.0,27941.0
Technology,Dec,207879.0,37166.0
Technology,Jun,215208.0,39874.0
Office Supplies,Jan,571030.0,103184.0
Technology,Aug,180584.0,31021.0
Technology,Oct,228001.0,38339.0
Technology,Jan,215866.0,40468.0
Office Supplies,Mar,550978.0,93056.0
Office Supplies,Aug,508174.0,94461.0
Office Supplies,Sep,486826.0,82409.0
Office Supplies,Oct,552429.0,95817.0
Furniture,Nov,182236.0,30833.0
Office Supplies,Nov,491729.0,84870.0
Technology,May,194519.0,32840.0
Furniture,Feb,145215.0,27148.0
Office Supplies,Apr,482698.0,85537.0
Furniture,Jan,171081.0,30133.0
Furniture,Jun,162528.0,29987.0
Technology,Nov,217619.0,38024.0
Technology,Mar,186988.0,32929.0
Technology,Feb,171304.0,28336.0
Furniture,Apr,207392.0,36857.0
Technology,Apr,195598.0,33839.0
Furniture,Dec,189047.0,33722.0
Office Supplies,May,525376.0,94214.0
Furniture,Jul,155466.0,28169.0
Furniture,May,182687.0,34620.0
