state,total_sales,total_customers
Alabama,70350.0,24
Arizona,291682.0,61
Arkansas,64822.0,6
California,2169108.0,484
Colorado,250076.0,63
Connecticut,99892.0,25
Delaware,85565.0,20
District of Columbia,5512.0,1
Florida,427257.0,92
Georgia,130549.0,39
Illinois,471565.0,113
Indiana,135774.0,32
Iowa,15116.0,7
Kansas,34823.0,3
Kentucky,267575.0,51
Louisiana,55745.0,19
Maryland,28287.0,8
Massachusetts,131926.0,32
Michigan,205367.0,47
Minnesota,182718.0,37
Mississippi,69640.0,14
Missouri,69238.0,20
Nebraska,3358.0,3
Nevada,14941.0,3
New Hampshire,25100.0,5
New Jersey,171225.0,37
New Mexico,17202.0,10
New York,1065614.0,254
North Carolina,335739.0,89
Ohio,527739.0,126
Oklahoma,42395.0,9
Oregon,43199.0,9
Pennsylvania,543899.0,134
Rhode Island,58038.0,13
South Dakota,457.0,1
Tennessee,158755.0,34
Texas,1088698.0,235
Utah,52748.0,13
Virginia,231395.0,43
Washington,488017.0,120
Wisconsin,58853.0,22
