region,month_name,total_sales
South,Mar,184444.0
South,Jan,152908.0
East,Apr,241420.0
East,Nov,246978.0
Central,May,221528.0
East,Mar,231481.0
Central,Oct,194447.0
South,Nov,143616.0
Central,Apr,203418.0
South,Jul,122716.0
Central,Mar,235912.0
East,Jan,247659.0
West,Apr,237520.0
East,Sep,217938.0
South,Sep,159786.0
West,Aug,222044.0
Central,Nov,191928.0
South,Feb,175108.0
West,Mar,261528.0
South,Dec,175931.0
East,Feb,228713.0
West,Dec,296921.0
West,Sep,243198.0
Central,Sep,182391.0
South,Aug,165002.0
East,Jun,209191.0
West,Jan,285278.0
South,Apr,141329.0
Central,Dec,220818.0
West,Oct,278078.0
Central,Jun,185661.0
Central,Aug,183727.0
East,Oct,279619.0
West,Jun,235509.0
West,Jul,242019.0
West,Nov,253819.0
East,Dec,258257.0
South,Jun,150347.0
East,Jul,215090.0
East,May,234738.0
South,Oct,171440.0
Central,Jul,195728.0
Central,Jan,195812.0
East,Aug,250914.0
Central,Feb,197855.0
South,May,168727.0
West,May,236175.0
West,Feb,184844.0
