category,month,total_sales,total_profit
Furniture,Sep,296527.0,51335.0
Furniture,Oct,262273.0,48157.0
Furniture,Mar,332106.0,57566.0
Office Supplies,Feb,778663.0,136802.0
Technology,Jul,308916.0,55229.0
Office Supplies,Dec,948097.0,167232.0
Furniture,Aug,285896.0,51189.0
Office Supplies,Jul,818316.0,143649.0
Office Supplies,Jun,777323.0,139187.0
Technology,Sep,246793.0,42761.0
Technology,Dec,325015.0,57089.0
Technology,Jun,339061.0,61838.0
Office Supplies,Jan,897491.0,161689.0
Technology,Aug,321524.0,55243.0
Technology,Oct,365407.0,61106.0
Technology,Jan,331424.0,61497.0
Office Supplies,Mar,852960.0,143331.0
Office Supplies,Aug,754209.0,136941.0
Office Supplies,Sep,804633.0,139656.0
Office Supplies,Oct,854960.0,148195.0
Furniture,Nov,286550.0,49122.0
Office Supplies,Nov,794341.0,137035.0
Technology,May,316039.0,53887.0
Furniture,Feb,233751.0,42543.0
Office Supplies,Apr,784905.0,138908.0
Furniture,Jan,281293.0,50475.0
Furniture,Jun,284153.0,48524.0
Technology,Nov,342316.0,61655.0
Technology,Mar,290431.0,51267.0
Technology,Feb,286733.0,48045.0
Furniture,Apr,326785.0,57847.0
Technology,Apr,320357.0,55749.0
Furniture,Dec,311932.0,56458.0
Office Supplies,May,849278.0,151221.0
Furniture,Jul,262099.0,45910.0
Furniture,May,308519.0,56727.0
