category,month,total_sales,total_profit
Furniture,Sep,253323.0,44139.0
Furniture,Oct,219162.0,40342.0
Furniture,Mar,287781.0,50236.0
Office Supplies,Feb,665929.0,116875.0
Technology,Jul,256112.0,45745.0
Office Supplies,Dec,821847.0,146591.0
Furniture,Aug,244464.0,43378.0
Office Supplies,Jul,648890.0,115367.0
Office Supplies,Jun,613864.0,108937.0
Technology,Sep,207345.0,36141.0
Technology,Dec,272161.0,47974.0
Technology,Jun,284468.0,51397.0
Office Supplies,Jan,750197.0,135488.0
Technology,Aug,251681.0,43705.0
Technology,Oct,295431.0,48526.0
Technology,Jan,259696.0,48355.0
Office Supplies,Mar,692347.0,116887.0
Office Supplies,Aug,649250.0,117585.0
Office Supplies,Sep,645154.0,110826.0
Office Supplies,Oct,716050.0,123163.0
Furniture,Nov,232019.0,38883.0
Office Supplies,Nov,656921.0,113969.0
Technology,May,259530.0,44579.0
Furniture,Feb,199313.0,36530.0
Office Supplies,Apr,637504.0,113522.0
Furniture,Jan,234736.0,41642.0
Furniture,Jun,228837.0,40738.0
Technology,Nov,278526.0,48980.0
Technology,Mar,242907.0,43070.0
Technology,Feb,244498.0,41033.0
Furniture,Apr,264903.0,47498.0
Technology,Apr,268370.0,46666.0
Furniture,Dec,249929.0,45728.0
Office Supplies,May,704768.0,125719.0
Furniture,Jul,201217.0,35519.0
Furniture,May,225246.0,42461.0
