region,month_name,total_sales
South,Mar,256780.0
South,Jan,224059.0
East,Apr,371422.0
East,Nov,365816.0
Central,May,311589.0
East,Mar,328830.0
Central,Oct,274615.0
South,Nov,191993.0
Central,Apr,297755.0
South,Jul,179783.0
Central,Mar,322975.0
East,Jan,363701.0
West,Apr,380506.0
East,Sep,324235.0
South,Sep,215562.0
West,Aug,352842.0
Central,Nov,296302.0
South,Feb,235525.0
West,Mar,372252.0
South,Dec,265250.0
East,Feb,320521.0
West,Dec,438836.0
West,Sep,340864.0
Central,Sep,282454.0
South,Aug,236059.0
East,Jun,302496.0
West,Jan,431514.0
South,Apr,195959.0
Central,Dec,318400.0
West,Oct,397626.0
Central,Jun,285458.0
Central,Aug,252153.0
East,Oct,405393.0
West,Jun,393317.0
West,Jul,366388.0
West,Nov,379009.0
East,Dec,384694.0
South,Jun,217676.0
East,Jul,354530.0
East,May,310388.0
South,Oct,233725.0
Central,Jul,289861.0
Central,Jan,307634.0
East,Aug,361901.0
Central,Feb,286726.0
South,May,228906.0
West,May,395386.0
West,Feb,310188.0
