segment,month_name,total_sales,total_profit
Corporate,Oct,451282.0,78033.0
Home Office,Jul,301195.0,52159.0
Consumer,Jul,687056.0,120624.0
Corporate,Mar,444946.0,75015.0
Consumer,Nov,678479.0,117990.0
Home Office,Aug,237208.0,40468.0
Consumer,Aug,733692.0,134657.0
Corporate,Aug,400017.0,70469.0
Home Office,Apr,239664.0,42855.0
Consumer,Jun,739855.0,130615.0
Consumer,May,749742.0,132406.0
Home Office,Sep,225481.0,38041.0
Corporate,Jul,407630.0,72994.0
Corporate,Dec,515949.0,94414.0
Corporate,May,441721.0,77564.0
Corporate,Apr,459328.0,78647.0
Home Office,May,286409.0,52453.0
Home Office,Jan,288483.0,52346.0
Home Office,Jun,245880.0,44157.0
Consumer,Sep,739777.0,128750.0
Home Office,Mar,283865.0,47021.0
Consumer,Apr,738262.0,132045.0
Home Office,Nov,264449.0,46035.0
Home Office,Oct,283323.0,49728.0
Consumer,Dec,803390.0,141821.0
Corporate,Nov,485087.0,84637.0
Corporate,Sep,388143.0,68156.0
Corporate,Feb,399810.0,68034.0
Home Office,Feb,240157.0,42443.0
Consumer,Mar,751120.0,130812.0
Consumer,Oct,759972.0,132194.0
Corporate,Jan,486637.0,85723.0
Consumer,Jan,738010.0,135979.0
Corporate,Jun,416493.0,75013.0
Home Office,Dec,269278.0,45329.0
Consumer,Feb,660676.0,117170.0
