state,sub_category,quantity_sold,sub_category_rank
Alabama,Binders,143,1
Alabama,Paper,142,2
Alabama,Furnishings,94,3
Alabama,Storage,81,4
Alabama,Accessories,71,5
Alabama,Chairs,64,6
Alabama,Art,59,7
Alabama,Phones,48,8
Alabama,Appliances,42,9
Alabama,Labels,40,10
Alabama,Tables,40,10
Alabama,Bookcases,36,12
Alabama,Envelopes,35,13
Alabama,Fasteners,24,14
Alabama,Supplies,12,15
Alabama,Machines,5,16
Alabama,Copiers,4,17
Arizona,Paper,573,1
Arizona,Binders,476,2
Arizona,Furnishings,443,3
Arizona,Phones,374,4
Arizona,Art,361,5
Arizona,Accessories,324,6
Arizona,Storage,227,7
Arizona,Appliances,214,8
Arizona,Chairs,197,9
Arizona,Labels,165,10
Arizona,Envelopes,113,11
Arizona,Bookcases,108,12
Arizona,Tables,95,13
Arizona,Machines,84,14
Arizona,Supplies,70,15
Arizona,Fasteners,60,16
Arizona,Copiers,26,17
Arkansas,Paper,69,1
Arkansas,Phones,57,2
Arkansas,Art,56,3
Arkansas,Furnishings,53,4
Arkansas,Binders,43,5
Arkansas,Storage,37,6
Arkansas,Chairs,28,7
Arkansas,Accessories,24,8
Arkansas,Fasteners,24,8
Arkansas,Labels,18,10
Arkansas,Tables,18,10
Arkansas,Appliances,18,10
Arkansas,Machines,8,13
Arkansas,Supplies,7,14
Arkansas,Bookcases,5,15
Arkansas,Envelopes,4,16
California,Paper,4176,1
California,Binders,3085,2
California,Phones,2926,3
California,Furnishings,2706,4
California,Art,2605,5
California,Accessories,2245,6
California,Storage,2060,7
California,Appliances,1523,8
California,Chairs,1342,9
California,Labels,1073,10
California,Machines,974,11
California,Envelopes,936,12
California,Tables,849,13
California,Bookcases,784,14
California,Fasteners,689,15
California,Supplies,589,16
California,Copiers,204,17
Colorado,Binders,490,1
Colorado,Paper,485,2
Colorado,Phones,370,3
Colorado,Furnishings,370,3
Colorado,Art,333,5
Colorado,Storage,293,6
Colorado,Accessories,265,7
Colorado,Appliances,204,8
Colorado,Envelopes,152,9
Colorado,Machines,140,10
Colorado,Chairs,139,11
Colorado,Tables,128,12
Colorado,Labels,124,13
Colorado,Bookcases,107,14
Colorado,Fasteners,88,15
Colorado,Supplies,77,16
Colorado,Copiers,16,17
Connecticut,Paper,157,1
Connecticut,Phones,129,2
Connecticut,Art,112,3
Connecticut,Binders,97,4
Connecticut,Furnishings,94,5
Connecticut,Accessories,93,6
Connecticut,Storage,61,7
Connecticut,Appliances,57,8
Connecticut,Chairs,53,9
Connecticut,Machines,48,10
Connecticut,Labels,48,10
Connecticut,Fasteners,35,12
Connecticut,Bookcases,32,13
Connecticut,Tables,19,14
Connecticut,Supplies,18,15
Connecticut,Envelopes,14,16
Connecticut,Copiers,7,17
Delaware,Paper,154,1
Delaware,Storage,130,2
Delaware,Furnishings,111,3
Delaware,Accessories,103,4
Delaware,Phones,84,5
Delaware,Art,64,6
Delaware,Binders,63,7
Delaware,Appliances,59,8
Delaware,Chairs,58,9
Delaware,Machines,43,10
Delaware,Envelopes,33,11
Delaware,Tables,30,12
Delaware,Supplies,30,12
Delaware,Labels,20,14
Delaware,Bookcases,20,14
Delaware,Fasteners,18,16
Delaware,Copiers,5,17
District of Columbia,Paper,41,1
District of Columbia,Phones,25,2
District of Columbia,Furnishings,23,3
District of Columbia,Labels,16,4
District of Columbia,Binders,15,5
District of Columbia,Tables,14,6
District of Columbia,Art,14,6
District of Columbia,Appliances,12,8
District of Columbia,Supplies,11,9
District of Columbia,Envelopes,10,10
District of Columbia,Chairs,8,11
District of Columbia,Accessories,7,12
District of Columbia,Fasteners,7,12
District of Columbia,Bookcases,5,14
District of Columbia,Machines,3,15
Florida,Paper,796,1
Florida,Binders,636,2
Florida,Furnishings,576,3
Florida,Phones,474,4
Florida,Art,473,5
Florida,Accessories,458,6
Florida,Storage,332,7
Florida,Appliances,277,8
Florida,Chairs,257,9
Florida,Labels,227,10
Florida,Machines,202,11
Florida,Tables,200,12
Florida,Fasteners,137,13
Florida,Envelopes,130,14
Florida,Bookcases,123,15
Florida,Supplies,110,16
Florida,Copiers,21,17
Georgia,Paper,347,1
Georgia,Binders,298,2
Georgia,Phones,250,3
Georgia,Furnishings,214,4
Georgia,Art,200,5
Georgia,Storage,138,6
Georgia,Chairs,131,7
Georgia,Accessories,127,8
Georgia,Appliances,111,9
Georgia,Tables,92,10
Georgia,Labels,75,11
Georgia,Machines,66,12
Georgia,Bookcases,51,13
Georgia,Fasteners,42,14
Georgia,Envelopes,31,15
Georgia,Supplies,28,16
Georgia,Copiers,5,17
Illinois,Paper,1154,1
Illinois,Binders,802,2
Illinois,Phones,723,3
Illinois,Furnishings,671,4
Illinois,Accessories,589,5
Illinois,Art,541,6
Illinois,Storage,502,7
Illinois,Appliances,375,8
Illinois,Chairs,353,9
Illinois,Machines,324,10
Illinois,Labels,299,11
Illinois,Tables,242,12
Illinois,Bookcases,241,13
Illinois,Envelopes,186,14
Illinois,Supplies,183,15
Illinois,Fasteners,143,16
Illinois,Copiers,29,17
Indiana,Paper,258,1
Indiana,Phones,210,2
Indiana,Accessories,180,3
Indiana,Binders,174,4
Indiana,Furnishings,139,5
Indiana,Art,133,6
Indiana,Storage,105,7
Indiana,Labels,82,8
Indiana,Chairs,75,9
Indiana,Appliances,70,10
Indiana,Envelopes,47,11
Indiana,Supplies,39,12
Indiana,Tables,37,13
Indiana,Fasteners,32,14
Indiana,Machines,32,14
Indiana,Bookcases,29,16
Indiana,Copiers,11,17
Iowa,Binders,51,1
Iowa,Storage,47,2
