category,month,total_sales,total_profit
Furniture,Sep,263687.0,45673.0
Furniture,Oct,232474.0,42624.0
Furniture,Mar,297930.0,52087.0
Office Supplies,Feb,688304.0,120872.0
Technology,Jul,264655.0,47689.0
Office Supplies,Dec,849191.0,150956.0
Furniture,Aug,257357.0,45569.0
Office Supplies,Jul,708483.0,125099.0
Office Supplies,Jun,655518.0,116228.0
Technology,Sep,213109.0,37258.0
Technology,Dec,286934.0,50931.0
Technology,Jun,298390.0,53756.0
Office Supplies,Jan,795387.0,143621.0
Technology,Aug,272598.0,47388.0
Technology,Oct,322736.0,53527.0
Technology,Jan,279161.0,52266.0
Office Supplies,Mar,723564.0,122510.0
Office Supplies,Aug,670310.0,121161.0
Office Supplies,Sep,684198.0,118115.0
Office Supplies,Oct,752508.0,130831.0
Furniture,Nov,250091.0,42584.0
Office Supplies,Nov,685274.0,118660.0
Technology,May,267876.0,46281.0
Furniture,Feb,204814.0,37538.0
Office Supplies,Apr,671445.0,118992.0
Furniture,Jan,246815.0,43615.0
Furniture,Jun,239683.0,42715.0
Technology,Nov,294493.0,52078.0
Technology,Mar,256264.0,45323.0
Technology,Feb,256007.0,42987.0
Furniture,Apr,288187.0,52003.0
Technology,Apr,276729.0,47960.0
Furniture,Dec,264626.0,48474.0
Office Supplies,May,738307.0,131510.0
Furniture,Jul,214123.0,37835.0
Furniture,May,235753.0,43951.0
